N_CTX,PyTorch (strided),Triton (strided)
256.000000,0.142470,0.211406
512.000000,0.147272,0.315077
1024.000000,0.101843,0.416763
2048.000000,0.095169,0.523242
4096.000000,0.096857,0.599186
8192.000000,0.096804,0.657002
16384.000000,0.093203,0.572523
