B,PyTorch (strided),Triton (strided)
1.000000,0.101964,0.410884
2.000000,0.097815,0.517049
4.000000,0.098801,0.597139
8.000000,0.094458,0.601075
16.000000,0.096215,0.629870
32.000000,0.098579,0.535671
