variant,dtype,N,bwd,fwd,B,H,D,latency_ms,tflops,peak_mib,max_abs_err,ref_source,status
flex,float32,2048,127,128,1,8,64,5.194101333618164,0.20672331073911515,320.140625,8.344650268554688e-07,naive_pt,ok
naive_pt,float16,2048,127,128,1,8,64,3.4287617206573486,0.3131573178535563,234.15625,0.0012428462505340576,self,ok
strided_pt,float16,2048,127,128,1,8,64,10.439167976379395,0.10285703098460962,575.267578125,0.0015230178833007812,naive_pt,ok
triton_tiled_fp32,float16,2048,127,128,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,2048,127,128,1,8,64,0.08053760230541229,13.332180165088456,34.125,0.0005464553833007812,naive_pt,ok
flex,float16,2048,127,128,1,8,64,4.785920143127441,0.2243543126271942,324.140625,0.0005464553833007812,naive_pt,ok
naive_pt,float32,2048,255,256,1,8,64,6.2740478515625,0.3422804063353114,424.15625,0.0,self,ok
strided_pt,float32,2048,255,256,1,8,64,34.990081787109375,0.061374067687694,2186.64453125,7.152557373046875e-07,naive_pt,ok
triton_tiled_fp32,float32,2048,255,256,1,8,64,0.17373865842819214,12.360424947609319,32.125,0.002443552017211914,naive_pt,ok
triton_tiled_fp16,float32,2048,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,2048,255,256,1,8,64,6.033077239990234,0.3559516251118767,320.140625,1.0132789611816406e-06,naive_pt,ok
naive_pt,float16,2048,255,256,1,8,64,3.8332417011260986,0.5602265172501723,234.15625,0.0008477270603179932,self,ok
strided_pt,float16,2048,255,256,1,8,64,23.844863891601562,0.09006063770220842,1112.39453125,0.001093745231628418,naive_pt,ok
triton_tiled_fp32,float16,2048,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,2048,255,256,1,8,64,0.10731520503759384,20.010991427055558,34.125,0.0007195472717285156,naive_pt,ok
flex,float16,2048,255,256,1,8,64,4.815530776977539,0.4459495219648176,324.140625,0.0007195472717285156,naive_pt,ok
naive_pt,float32,4096,15,16,1,8,64,24.764415740966797,0.01083956346104858,1624.1875,0.0,self,ok
strided_pt,float32,4096,15,16,1,8,64,4.891989231109619,0.054872454398087966,340.43798828125,1.3113021850585938e-06,naive_pt,ok
triton_tiled_fp32,float32,4096,15,16,1,8,64,0.16446933150291443,1.6321307659430917,56.125,0.0037964582443237305,naive_pt,ok
triton_tiled_fp16,float32,4096,15,16,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,4096,15,16,1,8,64,15.458304405212402,0.017365129380521576,1216.1875,8.344650268554688e-07,naive_pt,ok
naive_pt,float16,4096,15,16,1,8,64,12.498944282531738,0.02147665034199406,860.1875,0.002170741558074951,self,ok
strided_pt,float16,4096,15,16,1,8,64,2.6654722690582275,0.10070840320347599,202.42626953125,0.002696990966796875,naive_pt,ok
triton_tiled_fp32,float16,4096,15,16,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,4096,15,16,1,8,64,0.08829673379659653,3.0401515940371855,60.125,0.0012600421905517578,naive_pt,ok
flex,float16,4096,15,16,1,8,64,14.715904235839844,0.018241179862141188,1224.1875,0.0012600421905517578,naive_pt,ok
naive_pt,float32,4096,127,128,1,8,64,24.807424545288086,0.08656616667641512,1624.1875,0.0,self,ok
strided_pt,float32,4096,127,128,1,8,64,38.203392028808594,0.056211858004143064,2218.408203125,1.3113021850585938e-06,naive_pt,ok
triton_tiled_fp32,float32,4096,127,128,1,8,64,0.23131023347377777,9.283997580865556,56.125,0.0025308728218078613,naive_pt,ok
triton_tiled_fp16,float32,4096,127,128,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,4096,127,128,1,8,64,15.81875228881836,0.135755564585076,1216.1875,7.748603820800781e-07,naive_pt,ok
naive_pt,float16,4096,127,128,1,8,64,12.416000366210938,0.17296098458922324,860.1875,0.0013120770454406738,self,ok
strided_pt,float16,4096,127,128,1,8,64,23.724031448364258,0.09051933912134762,1142.283203125,0.0015040040016174316,naive_pt,ok
triton_tiled_fp32,float16,4096,127,128,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,4096,127,128,1,8,64,0.12907788157463074,16.637115683978433,60.125,0.0007020831108093262,naive_pt,ok
flex,float16,4096,127,128,1,8,64,14.666751861572266,0.14641848912890731,1224.1875,0.0007020831108093262,naive_pt,ok
naive_pt,float32,4096,255,256,1,8,64,24.9354248046875,0.17224359840032114,1624.1875,0.0,self,ok
strided_pt,float32,4096,255,256,1,8,64,77.05804443359375,0.0557367803396733,4364.66015625,7.152557373046875e-07,naive_pt,ok
triton_tiled_fp32,float32,4096,255,256,1,8,64,0.29165738821029663,14.726070621270036,56.125,0.002523183822631836,naive_pt,ok
triton_tiled_fp16,float32,4096,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,4096,255,256,1,8,64,17.748992919921875,0.24198371791445306,1216.1875,8.940696716308594e-07,naive_pt,ok
naive_pt,float16,4096,255,256,1,8,64,14.133248329162598,0.30389102320786004,860.1875,0.0012960433959960938,self,ok
strided_pt,float16,4096,255,256,1,8,64,58.477569580078125,0.07344640563624227,2216.41015625,0.0017843246459960938,naive_pt,ok
triton_tiled_fp32,float16,4096,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,4096,255,256,1,8,64,0.18483200669288635,23.23714043280633,60.125,0.00043529272079467773,naive_pt,ok
flex,float16,4096,255,256,1,8,64,16.522239685058594,0.25995067120857884,1224.1875,0.00046187639236450195,naive_pt,ok
naive_pt,float32,8192,15,16,1,8,64,97.47456359863281,0.005507805238407142,6376.25,0.0,self,ok
strided_pt,float32,8192,15,16,1,8,64,10.758655548095703,0.04990130129177961,672.71923828125,1.3113021850585938e-06,naive_pt,ok
triton_tiled_fp32,float32,8192,15,16,1,8,64,0.30967918038368225,1.7336357947435623,104.125,0.003582477569580078,naive_pt,ok
triton_tiled_fp16,float32,8192,15,16,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,8192,15,16,1,8,64,56.020992279052734,0.009583388122183364,4760.375,9.5367431640625e-07,naive_pt,ok
naive_pt,float16,8192,15,16,1,8,64,48.747520446777344,0.01101329682165387,3312.25,0.002513408660888672,self,ok
strided_pt,float16,8192,15,16,1,8,64,6.061397552490234,0.08857213329942937,396.70361328125,0.0031588077545166016,naive_pt,ok
triton_tiled_fp32,float16,8192,15,16,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,8192,15,16,1,8,64,0.16852419078350067,3.185720159841659,112.125,0.0016880035400390625,naive_pt,ok
flex,float16,8192,15,16,1,8,64,54.379520416259766,0.00987266728155022,4776.375,0.0016880035400390625,naive_pt,ok
naive_pt,float32,8192,127,128,1,8,64,97.55852508544922,0.044024520586367404,6376.25,0.0,self,ok
strided_pt,float32,8192,127,128,1,8,64,71.18950653076172,0.06033146604470562,4428.439453125,8.940696716308594e-07,naive_pt,ok
triton_tiled_fp32,float32,8192,127,128,1,8,64,0.42393600940704346,10.13116885731727,104.125,0.0022028684616088867,naive_pt,ok
triton_tiled_fp16,float32,8192,127,128,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,8192,127,128,1,8,64,56.30156707763672,0.07628503998969478,4760.375,1.5497207641601562e-06,naive_pt,ok
naive_pt,float16,8192,127,128,1,8,64,48.41062545776367,0.08871951674632228,3312.25,0.0016854405403137207,self,ok
strided_pt,float16,8192,127,128,1,8,64,46.64934539794922,0.09206918680982851,2276.314453125,0.0014199018478393555,naive_pt,ok
triton_tiled_fp32,float16,8192,127,128,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,8192,127,128,1,8,64,0.18202665448188782,23.59526580447789,112.125,0.0007088780403137207,naive_pt,ok
flex,float16,8192,127,128,1,8,64,54.41843032836914,0.07892486552962864,4776.375,0.0007088780403137207,naive_pt,ok
naive_pt,float32,8192,255,256,1,8,64,97.58822631835938,0.08802224321587006,6376.25,0.0,self,ok
strided_pt,float32,8192,255,256,1,8,64,142.69952392578125,0.060195958302339314,8720.69140625,9.5367431640625e-07,naive_pt,ok
triton_tiled_fp32,float32,8192,255,256,1,8,64,0.5118591785430908,16.781831707012863,104.125,0.0026338696479797363,naive_pt,ok
triton_tiled_fp16,float32,8192,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
flex,float32,8192,255,256,1,8,64,57.157535552978516,0.15028525126031914,4760.375,7.748603820800781e-07,naive_pt,ok
naive_pt,float16,8192,255,256,1,8,64,48.372737884521484,0.1775780112448141,3312.25,0.0011295080184936523,self,ok
strided_pt,float16,8192,255,256,1,8,64,114.45452880859375,0.0750510677158546,4440.44140625,0.001822054386138916,naive_pt,ok
triton_tiled_fp32,float16,8192,255,256,1,8,64,nan,nan,nan,nan,naive_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,8192,255,256,1,8,64,0.242892786860466,35.365128388660786,112.125,0.0006843507289886475,naive_pt,ok
flex,float16,8192,255,256,1,8,64,54.3928337097168,0.15792401325959018,4776.375,0.0006843507289886475,naive_pt,ok
naive_pt,float32,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,skipped:budget(24.0GiB)
strided_pt,float32,16384,15,16,1,8,64,21.05344009399414,0.0510007779824212,1337.28173828125,0.0,self,ok
triton_tiled_fp32,float32,16384,15,16,1,8,64,0.5971968173980713,1.797969769293462,200.125,0.003696918487548828,strided_pt,ok
triton_tiled_fp16,float32,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,skipped:dtype_mismatch
flex,float32,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,oom
naive_pt,float16,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,skipped:budget(24.0GiB)
strided_pt,float16,16384,15,16,1,8,64,14.6626558303833,0.07322969565820675,785.26611328125,0.0032705068588256836,self,ok
triton_tiled_fp32,float16,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,16384,15,16,1,8,64,0.3091402053833008,3.473316654715536,216.125,0.0015457868576049805,strided_pt,ok
flex,float16,16384,15,16,1,8,64,nan,nan,nan,nan,strided_pt,oom
naive_pt,float32,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,skipped:budget(24.0GiB)
strided_pt,float32,16384,127,128,1,8,64,142.04518127441406,0.06047325586783044,8848.501953125,0.0,self,ok
triton_tiled_fp32,float32,16384,127,128,1,8,64,0.757838785648346,11.334778259799862,200.125,0.0032171010971069336,strided_pt,ok
