variant,dtype,precision,N,bwd,fwd,B,H,D,ref_source,latency_ms,peak_mib,max_abs_err,status,tflops
flex,float32,highest,8192,255,256,1,8,64,naive,3.322538375854492,105.083984375,9.238719940185547e-07,ok,2.5853530103443383
flex,float32,high,8192,255,256,1,8,64,naive,0.380997896194458,105.083984375,0.0018771886825561523,ok,22.545884577839697
flex,float16,n/a,8192,255,256,1,8,64,naive,0.16236621141433716,113.083984375,0.0005556941032409668,ok,52.9046931450511
flex,float32,highest,16384,15,16,1,8,64,strided,5.062608242034912,201.8359375,1.430511474609375e-06,ok,0.2120926156372728
flex,float32,high,16384,15,16,1,8,64,strided,0.5044053792953491,201.8359375,0.004839897155761719,ok,2.128727940015251
flex,float16,n/a,16384,15,16,1,8,64,strided,0.19738920032978058,217.8359375,0.001878499984741211,ok,5.439719205539544
flex,float32,highest,16384,31,32,1,8,64,strided,5.068048000335693,202.087890625,1.6689300537109375e-06,ok,0.4237299346528992
flex,float32,high,16384,31,32,1,8,64,strided,0.5052973628044128,202.087890625,0.0042192935943603516,ok,4.24994034419933
flex,float16,n/a,16384,31,32,1,8,64,strided,0.1991802304983139,218.087890625,0.0014352798461914062,ok,10.781610416994566
flex,float32,highest,16384,63,64,1,8,64,strided,5.056280136108398,202.33984375,1.6689300537109375e-06,ok,0.8494322269306961
flex,float32,high,16384,63,64,1,8,64,strided,0.5064959526062012,202.33984375,0.0033124685287475586,ok,8.479766272366092
flex,float16,n/a,16384,63,64,1,8,64,strided,0.20119903981685638,218.33984375,0.001105666160583496,ok,21.346857817559872
flex,float32,highest,16384,127,128,1,8,64,strided,4.7518720626831055,202.591796875,1.1920928955078125e-06,ok,1.8076948366218772
flex,float32,high,16384,127,128,1,8,64,strided,0.4968106746673584,202.591796875,0.00347745418548584,ok,17.290157055806873
flex,float16,n/a,16384,127,128,1,8,64,strided,0.20805835723876953,218.591796875,0.0012276172637939453,ok,41.286179060532135
flex,float32,highest,16384,255,256,1,8,64,strided,6.092458724975586,202.84375,1.0132789611816406e-06,ok,2.819858116325416
flex,float32,high,16384,255,256,1,8,64,strided,0.739762544631958,202.84375,0.0024940967559814453,ok,23.223491522603677
flex,float16,n/a,16384,255,256,1,8,64,strided,0.30603837966918945,218.84375,0.000726163387298584,ok,56.136322518013884
