H,PyTorch (strided),Triton (strided)
1.000000,0.141241,0.122727
2.000000,0.144991,0.197994
4.000000,0.101136,0.243855
8.000000,0.097706,0.276523
16.000000,0.095247,0.294709
32.000000,0.097252,0.301705
