B,PyTorch (strided),Triton (strided)
1.000000,0.054140,0.021681
2.000000,0.055942,0.020782
4.000000,0.056982,0.020388
8.000000,0.056339,0.020269
16.000000,0.055503,0.020184
32.000000,0.057067,0.020113
