N_CTX,PyTorch (strided),Triton (strided)
256.000000,0.105533,0.024900
512.000000,0.062714,0.022724
1024.000000,0.053939,0.021636
2048.000000,0.055942,0.020565
4096.000000,0.057100,0.020230
8192.000000,0.057824,0.020044
16384.000000,0.057716,0.019944
