H,PyTorch (strided),Triton (strided)
1.000000,0.100208,0.024768
2.000000,0.062002,0.022795
4.000000,0.053850,0.021747
8.000000,0.055669,0.020827
16.000000,0.056944,0.020450
32.000000,0.057725,0.020202
